Sample	Genome	Mean	Trimmed Mean	Covered Bases	Variance	Length	Count	Reads_per_base	RPKM	TPM
S1C1003_01724_vs01_168_1003-01_23	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_23	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_23	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_23	S1C1003_01336_vs01_36	1.7719299	1.6809338	334	4.3837447	720	7	0.009722223	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_23	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_6	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_6	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_6	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_6	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_6	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_13	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_13	S1C1003_01724_vs01_68	0.53368795	0.48622048	200	0.60809934	714	2	0.0028011205	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_13	S1C1003_01724_vs01_163	0.4850088	0.4324853	209	0.57883847	717	2	0.0027894003	1394700.1	1000000
S1C1003_01336_vs01_36_1003-01_13	S1C1003_01336_vs01_36	26.203508	26.153696	718	61.54726	720	109	0.15138888	1388889	1000000
S1C1003_011133_vs01_15_1003-01_13	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_37	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_37	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_37	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_37	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_37	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_46	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_46	S1C1003_01724_vs01_68	0.84042555	0.7598425	285	1.2178301	714	4	0.005602241	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_46	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_46	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_46	S1C1003_011133_vs01_15	8.613191	7.8574257	275	101.198326	711	32	0.04500703	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_15	S1C1003_01724_vs01_168	1.0766488	1.089109	302	0.99590015	711	4	0.005625879	1406469.8	1000000
S1C1003_01724_vs01_68_1003-01_15	S1C1003_01724_vs01_68	3.4804964	3.226378	423	15.855746	714	13	0.018207284	1400560.1	1000000
S1C1003_01724_vs01_163_1003-01_15	S1C1003_01724_vs01_163	0.41093475	0.40313113	233	0.24249505	717	2	0.0027894003	1394700.1	1000000
S1C1003_01336_vs01_36_1003-01_15	S1C1003_01336_vs01_36	15.821053	15.963035	629	69.93278	720	62	0.08611111	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_15	S1C1003_011133_vs01_15	1.0766488	0.9821782	195	2.5244715	711	4	0.005625879	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_53	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_53	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_53	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_53	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_53	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_49	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_49	S1C1003_01724_vs01_68	1.070922	0.97637796	185	2.6592596	714	4	0.005602241	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_49	S1C1003_01724_vs01_163	2.1305115	2.1526418	302	3.9900036	717	8	0.011157601	1394700.1	1000000
S1C1003_01336_vs01_36_1003-01_49	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
