Sample	Genome	Mean	Trimmed Mean	Covered Bases	Variance	Length	Count	Reads_per_base	RPKM	TPM
S1C1003_01724_vs01_68_1003-01_39	S1C1003_01724_vs01_68	7.0673757	7.03937	702	5.0789332	714	41	0.05742297	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_39	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_39	S1C1003_011133_vs01_15	12.941176	12.7445545	710	41.194756	711	69	0.09704641	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_47	S1C1003_01724_vs01_168	8.607843	8.502971	682	16.88165	711	45	0.06329114	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_47	S1C1003_01724_vs01_163	12.414462	12.446184	711	18.345585	717	64	0.08926081	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_47	S1C1003_01724_vs01_68	11.180851	11.375984	699	14.29761	714	59	0.082633056	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_47	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_47	S1C1003_011133_vs01_15	19.720142	19.744555	708	9.455469	711	95	0.13361463	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_37	S1C1003_01724_vs01_168	3.9893048	3.8970296	600	7.6141706	711	20	0.028129395	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_37	S1C1003_01724_vs01_163	4.2574954	4.0469666	678	9.926512	717	20	0.027894003	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_37	S1C1003_01724_vs01_68	5.9397163	5.8877954	686	5.555862	714	30	0.042016808	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_37	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_37	S1C1003_011133_vs01_15	11.139037	11.231683	693	16.769922	711	57	0.080168776	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_50	S1C1003_01724_vs01_168	3.2335117	3.2435644	568	4.7257323	711	17	0.023909986	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_50	S1C1003_01724_vs01_163	3.6807761	3.7514677	598	3.493322	717	17	0.023709903	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_50	S1C1003_01724_vs01_68	3.7358155	3.6496062	592	8.709834	714	18	0.025210084	1400560.1	1000000
S1C1003_01336_vs01_36_1003-01_50	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_50	S1C1003_011133_vs01_15	7.529412	7.560396	703	3.1674368	711	38	0.05344585	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_40	S1C1003_01724_vs01_168	11.745098	11.689109	680	24.100983	711	60	0.08438819	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_40	S1C1003_01724_vs01_163	10.539682	10.540117	696	11.128727	717	56	0.07810321	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_40	S1C1003_01724_vs01_68	8.930851	8.683071	700	27.592016	714	49	0.068627454	1400560.4	1000000
S1C1003_01336_vs01_36_1003-01_40	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_40	S1C1003_011133_vs01_15	18.180037	18.225742	698	38.565742	711	92	0.12939522	1406469.9	1000000
S1C1003_01724_vs01_168_1003-01_12	S1C1003_01724_vs01_168	2.7183602	2.7524753	601	2.4848232	711	14	0.019690577	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_12	S1C1003_01724_vs01_163	2.5961199	2.5812132	622	1.6228118	717	13	0.018131102	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_12	S1C1003_01724_vs01_68	2.3776596	2.320866	529	3.9157345	714	14	0.019607844	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_12	S1C1003_01336_vs01_36	7.6350875	7.5097275	657	9.708432	720	36	0.05	1388888.8	1000000
